id,institutionCode,Barcode,Catalog Number,basisOfRecord,informationWithheld,recordNumber,recordedBy,associatedMedia,eventDate,"
  continent",country,countryCode,stateProvince,county,Locality,decimalLatitude ,decimalLongitude,geodeticDatum,coordinateUncertaintyInMeters,scientificName,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,taxonRank,Category,Collector,Type status,Elevation,Habitat,Habit,Soil Type,Associated Species,Detrminavit,More Information
,,STC00120,212,PreservedSpecimen,"Stem 4 angled,leaves siple,opposite,sessile, linear,lanceolate acut at the apex,flowers solitary axillary,corolla white, stamens 4, stigma 2 fid.",,,,2019-12-12,Asia,India,IN,Kerala,Thrissur,Ambakkad,10.542487,76.169437,WGS84,3000,Pilea microphylla (L.) Liebuo,Plantae,,,,Urticaceae,,,,species,Angiosperms,Biniya Antony P,No,,,,,,,
,,STC00005,326,PreservedSpecimen,,,,,2019-7-11,Asia,India,IN,Kerala,Thrissur,Ancheri,10.513907,76.223236,WGS85,3000,Drymaria cordata,Plantae,,,,Caryophyllaceae,,,,,Angiosperms,Haritha,No,,,,,,,
,,STC00004,439,PreservedSpecimen,"Smooth, stem leaves, roughly, heart shaped",,,,2020-11-1,Asia,India,IN,Kerala,Thrissur,Athirappilly,10.288846,76.510803,WGS86,3000,Sapindus trifoliatus L.,Plantae,,,,Sapindaceae,,,,,Angiosperms,Havlin Antony T,No,,,,,,,
,,STC00031,952,PreservedSpecimen,"Epiphytes, uninodal pseudobulbs, rhizome creeping, stolon like psudobulbs fleshy, conical, ovoid Racemes lateral, long, sheathing at base, bracts small, petals small.",,,,2020-11-1,Asia,India,IN,Kerala,Thrissur,Athirappilly,10.288846,76.510803,WGS87,3000,Bulbophyllum sterile (Lam.) Suresh,Plantae,,,,Orchidaceae,,,,,Angiosperms,Shilpa K S,No,,,,,,,
,,STC00040,234,PreservedSpecimen,"Leaves opposite, flowers bisexual in axillary corymbose symes, corolla white,5 lipped,ovary superior,style filliform,stigma bifid, fruit a drupe",,,,2020-1-25,Asia,India,IN,Kerala,Thrissur,Athirappilly,10.288846,76.510803,WGS88,3000,Vitex leucoxylon L.F.,Plantae,,,,Verbenaceae,,,,,Angiosperms,Biniya Antony P,No,,,,,,,
,,STC00063,438,PreservedSpecimen,,,,,2020-11-1,Asia,India,IN,Kerala,Thrissur,Athirappilly,10.288846,76.510803,WGS89,3000,Pothos Scandens L.,Plantae,,,,Araceae,,,,,Angiosperms,Havlin Antony T,No,,,,,,,
,,STC00067,749,PreservedSpecimen,"Thick bark, leaves paripinnate, alternate, exstipulate, glabrous. flowers polygamous. Fruit a drupe.",,,,2020-11-1,Asia,India,IN,Kerala,Thrissur,Athirappilly,10.288846,76.510803,WGS90,3000,Sapindus trifoliatus L.,Plantae,,,,Sapindaceae,,,,,Angiosperms,Santhy Sasikumar,No,,,,,,,
,,STC00089,747,PreservedSpecimen,"Bark is brown, compound leaves, digitate",,,,2020-11-1,Asia,India,IN,Kerala,Thrissur,Athirappilly,10.288846,76.510803,WGS91,3000,Vitex leucoxylon,Plantae,,,,Verbenaceae,,,,,Angiosperms,Santhy sasikumar,No,,,,,,,
,,STC00106,852,PreservedSpecimen,"Climbing shrub, yong stem, leaves and buds densely villous, leaves opposite, inflorescense terminal and axillary.",,,,2020-11-1,Asia,India,IN,Kerala,Thrissur,Athirappilly,10.288846,76.510803,WGS92,3000,Naravelia zeylanica (L.) DC,Plantae,,,,Ranunculaceae,,,,,Angiosperms,Shamseena P M,No,,,,,,,
,,STC00107,635,PreservedSpecimen,"Leaves simple, alternate, spiral, oblong. Flowers bisexually terminal or axillary panicled racemes yellowish white.",,,,2020-11-1,Asia,India,IN,Kerala,Thrissur,Athirappilly,10.288846,76.510803,WGS93,3000,Xanthophyllum aenottianum Wight ,Plantae,,,,Polygalaceae,,,,,Angiosperms,Nirosha Paul,No,,,,,,,
